file,ground_truth,predicted,outcome,max_confidence,frame_count,frames_with_pose,pose_detection_rate,real_inference_count,had_any_buffer,forced_flush
oIEZ45OCmAw_4.avi,violent,violent,TP,0.73,150,126,0.84,6,True,True
Weaponized558.avi,violent,violent,TP,0.651,30,28,0.933,0,True,True
Weaponized744.avi,violent,normal,FN,0.0,30,4,0.133,0,True,True
Weaponized-Test122.avi,violent,normal,FN,0.0,30,0,0.0,0,False,False
Normal245.avi,normal,normal,TN,0.281,30,29,0.967,0,True,True
YL1qlr23_0.avi,normal,violent,FP,0.456,150,57,0.38,1,True,False
EFv961C5RgY_0.avi,normal,violent,FP,0.731,150,149,0.993,30,True,True
Weaponized536.avi,violent,violent,TP,0.554,30,19,0.633,0,True,True
b6XfVAZC9Zs_7.avi,violent,violent,TP,0.651,150,6,0.04,0,True,True
Weaponized061.avi,violent,normal,FN,0.27,30,28,0.933,0,True,True
Normal823.avi,normal,normal,TN,0.0,30,0,0.0,0,False,False
lUjx4FXvv34_1.avi,violent,violent,TP,0.68,150,95,0.633,2,True,True
Violence384.avi,violent,violent,TP,0.582,30,29,0.967,0,True,True
Normal790.avi,normal,normal,TN,0.0,30,0,0.0,0,False,False
Weaponized233.avi,violent,normal,FN,0.3,30,27,0.9,0,True,True
Normal511.avi,normal,normal,TN,0.337,30,29,0.967,0,True,True
Normal037.avi,normal,violent,FP,0.669,30,29,0.967,0,True,True
Normal668.avi,normal,normal,TN,0.0,30,0,0.0,0,False,False
Violence906.avi,violent,violent,TP,0.707,30,29,0.967,0,True,True
f9jcrHqO_0.avi,normal,normal,TN,0.271,150,105,0.7,5,True,False
Normal114.avi,normal,normal,TN,0.367,30,29,0.967,0,True,True
GVdnjHyU_0.avi,normal,normal,TN,0.0,150,0,0.0,0,False,False
NV_919.avi,normal,normal,TN,0.311,145,36,0.248,0,True,True
Normal664.avi,normal,normal,TN,0.0,30,0,0.0,0,False,False
no291_xvid.avi,normal,normal,TN,0.27,41,22,0.537,0,True,True
Weaponized592.avi,violent,normal,FN,0.358,30,29,0.967,0,True,True
Normal291.avi,normal,normal,TN,0.309,30,29,0.967,0,True,True
JPIeYvRgo6I_2.avi,normal,normal,TN,0.0,150,0,0.0,0,False,False
Normal426.avi,normal,normal,TN,0.0,30,0,0.0,0,False,False
Violence647.avi,violent,violent,TP,0.503,30,24,0.8,0,True,True
eifiXLWYul8_0.avi,violent,violent,TP,0.557,150,133,0.887,7,True,False
Normal742.avi,normal,normal,TN,0.277,30,29,0.967,0,True,True
NV_598.avi,normal,violent,FP,0.619,105,104,0.99,9,True,True
Weaponized331.avi,violent,violent,TP,0.7,30,29,0.967,0,True,True
YDOJvzChqSg_2.avi,violent,violent,TP,0.485,150,100,0.667,4,True,True
no25_xvid.avi,normal,normal,TN,0.269,41,30,0.732,0,True,True
no483_xvid.avi,normal,normal,TN,0.269,41,40,0.976,0,True,True
Weaponized654.avi,violent,normal,FN,0.302,30,29,0.967,0,True,True
L9tYVvJY_0.avi,normal,normal,TN,0.323,150,149,0.993,27,True,True
Wby1vUy8aYI_1.avi,violent,violent,TP,0.676,150,81,0.54,3,True,True
Normal001.avi,normal,violent,FP,0.626,30,29,0.967,0,True,True
Weaponized170.avi,violent,normal,FN,0.0,30,0,0.0,0,False,False
6mrIIcAQ2fI_2.avi,violent,normal,FN,0.0,150,0,0.0,0,False,False
H_VQJU0Bqpc_3.avi,normal,normal,TN,0.27,150,66,0.44,1,True,True
Weaponized285.avi,violent,normal,FN,0.311,30,28,0.933,0,True,True
R1A_AxUKosk_2.avi,violent,violent,TP,0.54,150,147,0.98,8,True,True
Weaponized-Test130.avi,violent,normal,FN,0.38,30,24,0.8,0,True,True
n039_converted.avi,normal,violent,FP,0.649,129,128,0.992,18,True,True
Violence693.avi,violent,normal,FN,0.269,30,21,0.7,0,True,True
Normal300.avi,normal,violent,FP,0.604,30,29,0.967,0,True,True
Normal230.avi,normal,normal,TN,0.271,30,8,0.267,0,True,True
Normal758.avi,normal,violent,FP,0.478,30,29,0.967,0,True,True
Violence400.avi,violent,violent,TP,0.723,30,29,0.967,0,True,True
etyiEs3j8x8_5.avi,violent,violent,TP,0.715,150,149,0.993,13,True,True
Violence-Test048.avi,violent,normal,FN,0.0,30,0,0.0,0,False,False
C8wt47cphU8_1.avi,violent,violent,TP,0.583,150,149,0.993,8,True,True
n015_converted.avi,normal,violent,FP,0.453,133,133,1.0,34,True,True
32wXo9Dt_0.avi,normal,violent,FP,0.635,150,146,0.973,14,True,False
Weaponized090.avi,violent,violent,TP,0.727,30,29,0.967,0,True,True
Normal720.avi,normal,violent,FP,0.437,30,29,0.967,0,True,True
NV_791.avi,normal,violent,FP,0.708,115,114,0.991,14,True,True
Normal542.avi,normal,violent,FP,0.495,30,29,0.967,0,True,True
fK7CSrQ6OpM_2.avi,violent,violent,TP,0.714,150,144,0.96,10,True,True
Normal339.avi,normal,violent,FP,0.409,30,29,0.967,0,True,True
Normal276.avi,normal,violent,FP,0.665,30,29,0.967,0,True,True
1A3zEkCHBl8_0.avi,normal,violent,FP,0.725,150,149,0.993,20,True,False
Normal064.avi,normal,violent,FP,0.403,30,29,0.967,0,True,True
Normal370.avi,normal,normal,TN,0.294,30,30,1.0,0,True,True
Normal690.avi,normal,violent,FP,0.474,30,30,1.0,0,True,True
Normal011.avi,normal,normal,TN,0.303,30,29,0.967,0,True,True
w018_converted.avi,violent,normal,FN,0.269,244,239,0.98,17,True,False
Normal189.avi,normal,normal,TN,0.0,30,0,0.0,0,False,False
Violence208.avi,violent,violent,TP,0.684,30,30,1.0,0,True,True
YL-qwpTMjzk_1.avi,violent,violent,TP,0.534,150,79,0.527,0,True,True
7qtRgyFsk3s_1.avi,normal,violent,FP,0.596,150,149,0.993,15,True,True
Normal769.avi,normal,normal,TN,0.275,30,11,0.367,0,True,True
Normal-Test076.avi,normal,normal,TN,0.0,30,0,0.0,0,False,False
BEoVUtDm_0.avi,normal,normal,TN,0.272,150,149,0.993,7,True,True
p19HiyCX7EQ_1.avi,violent,violent,TP,0.642,150,78,0.52,0,True,True
V_765.avi,violent,violent,TP,0.731,129,128,0.992,15,True,True
Weaponized369.avi,violent,normal,FN,0.272,30,29,0.967,0,True,True
Normal816.avi,normal,normal,TN,0.0,30,0,0.0,0,False,False
dOM7frJMFbc_0.avi,normal,violent,FP,0.422,150,149,0.993,21,True,True
no454_xvid.avi,normal,normal,TN,0.269,41,33,0.805,0,True,True
3SS0E4SmTk8_0.avi,violent,normal,FN,0.282,150,135,0.9,9,True,False
Violence068.avi,violent,violent,TP,0.477,30,5,0.167,0,True,True
Normal844.avi,normal,normal,TN,0.271,30,16,0.533,0,True,True
no400_xvid.avi,normal,violent,FP,0.454,41,40,0.976,0,True,True
Violence675.avi,violent,violent,TP,0.73,30,29,0.967,0,True,True
Weaponized535.avi,violent,violent,TP,0.441,30,20,0.667,0,True,True
Normal177.avi,normal,normal,TN,0.0,30,0,0.0,0,False,False
Weaponized-Test123.avi,violent,normal,FN,0.0,30,0,0.0,0,False,False
Violence882.avi,violent,violent,TP,0.667,30,29,0.967,0,True,True
Weaponized276.avi,violent,violent,TP,0.73,30,29,0.967,0,True,True
Weaponized096.avi,violent,violent,TP,0.713,30,28,0.933,0,True,True
oM-goKOVjeU_0.avi,violent,violent,TP,0.731,150,149,0.993,8,True,True
jILBnY3lB2Q_0.avi,normal,normal,TN,0.0,150,4,0.027,0,True,True
n030_converted.avi,normal,violent,FP,0.611,161,147,0.913,5,True,True
Violence278.avi,violent,violent,TP,0.566,30,29,0.967,0,True,True
Normal-Test025.avi,normal,violent,FP,0.44,30,30,1.0,0,True,True
Normal288.avi,normal,violent,FP,0.447,30,30,1.0,0,True,True
rfthfd_538.avi,violent,violent,TP,0.607,150,149,0.993,14,True,True
Violence611.avi,violent,violent,TP,0.423,30,22,0.733,0,True,True
dOM7frJMFbc_1.avi,normal,violent,FP,0.73,150,149,0.993,16,True,True
V_14.avi,violent,violent,TP,0.721,180,177,0.983,18,True,True
V_403.avi,violent,violent,TP,0.73,102,84,0.824,2,True,True
jTbvVbkUaPM_4.avi,violent,violent,TP,0.621,150,145,0.967,8,True,True
cy1gi3ZJb_c_4.avi,violent,violent,TP,0.727,150,149,0.993,30,True,True
Violence900.avi,violent,violent,TP,0.596,30,28,0.933,0,True,True
no377_xvid.avi,normal,normal,TN,0.271,41,25,0.61,0,True,True
V_481.avi,violent,violent,TP,0.684,123,122,0.992,13,True,True
Normal-Test163.avi,normal,normal,TN,0.0,30,0,0.0,0,False,False
1MVS2QPWbHc_1.avi,normal,violent,FP,0.695,150,145,0.967,9,True,True
no417_xvid.avi,normal,normal,TN,0.269,41,16,0.39,0,True,True
Normal060.avi,normal,violent,FP,0.635,30,29,0.967,0,True,True
V_591.avi,violent,violent,TP,0.696,185,51,0.276,0,True,True
Normal560.avi,normal,normal,TN,0.311,30,29,0.967,0,True,True
n115_converted.avi,normal,violent,FP,0.551,267,192,0.719,7,True,True
Violence645.avi,violent,violent,TP,0.724,30,30,1.0,0,True,True
no9_xvid.avi,normal,violent,FP,0.419,41,26,0.634,0,True,True
Normal589.avi,normal,violent,FP,0.57,30,29,0.967,0,True,True
Violence323.avi,violent,violent,TP,0.54,30,30,1.0,0,True,True
no395_xvid.avi,normal,normal,TN,0.269,41,22,0.537,0,True,True
t_n042_converted.avi,normal,normal,TN,0.273,128,51,0.398,1,True,True
NvYo6CS_i_A_1.avi,normal,normal,TN,0.0,150,0,0.0,0,False,False
t_n017_converted.avi,normal,normal,TN,0.31,236,34,0.144,0,True,True
AkTZX27QhjE_2.avi,violent,violent,TP,0.73,150,139,0.927,3,True,True
C3cT1JGv_0.avi,normal,normal,TN,0.388,150,38,0.253,0,True,True
V_611.avi,violent,violent,TP,0.731,185,119,0.643,7,True,True
no261_xvid.avi,normal,violent,FP,0.678,41,40,0.976,0,True,True
CqJB8ZWLZ-o_0.avi,normal,normal,TN,0.286,150,64,0.427,1,True,True
n163_converted.avi,normal,violent,FP,0.721,102,101,0.99,16,True,True
iqAmk7ES_0.avi,normal,normal,TN,0.355,150,19,0.127,0,True,True
Weaponized496.avi,violent,normal,FN,0.276,30,29,0.967,0,True,True
Violence731.avi,violent,violent,TP,0.728,30,30,1.0,0,True,True
v056_converted.avi,violent,violent,TP,0.73,322,306,0.95,20,True,True
Normal227.avi,normal,normal,TN,0.281,30,24,0.8,0,True,True
Weaponized680.avi,violent,violent,TP,0.728,30,29,0.967,0,True,True
Violence602.avi,violent,normal,FN,0.272,30,29,0.967,0,True,True
fHOVzWgX_0.avi,normal,normal,TN,0.288,150,5,0.033,0,True,True
n137_converted.avi,normal,violent,FP,0.446,113,112,0.991,12,True,True
Violence189.avi,violent,violent,TP,0.682,30,29,0.967,0,True,True
YC51sSdT_0.avi,normal,normal,TN,0.0,150,0,0.0,0,False,False
cw8fPfUL_0.avi,normal,violent,FP,0.475,150,149,0.993,28,True,True
Normal388.avi,normal,normal,TN,0.384,30,16,0.533,0,True,True
Weaponized164.avi,violent,normal,FN,0.275,30,30,1.0,0,True,True
Weaponized214.avi,violent,normal,FN,0.0,30,2,0.067,0,True,True
Violence802.avi,violent,normal,FN,0.379,30,29,0.967,0,True,True
n050_converted.avi,normal,normal,TN,0.356,162,108,0.667,2,True,False
n042_converted.avi,normal,normal,TN,0.343,161,44,0.273,0,True,True
RTDSFDSA_675.avi,violent,violent,TP,0.731,150,133,0.887,10,True,True
Weaponized482.avi,violent,violent,TP,0.731,30,29,0.967,0,True,True
Violence659.avi,violent,normal,FN,0.0,30,3,0.1,0,True,True
Weaponized438.avi,violent,normal,FN,0.0,30,0,0.0,0,False,False
Normal667.avi,normal,normal,TN,0.0,30,0,0.0,0,False,False
Weaponized766.avi,violent,normal,FN,0.384,30,29,0.967,0,True,True
V_761.avi,violent,violent,TP,0.731,126,117,0.929,11,True,True
Violence967.avi,violent,normal,FN,0.0,30,2,0.067,0,True,True
AF4Rk1I2_0.avi,normal,normal,TN,0.279,150,127,0.847,10,True,False
w029_converted.avi,violent,violent,TP,0.693,216,213,0.986,13,True,True
Weaponized398.avi,violent,violent,TP,0.421,30,30,1.0,0,True,True
tILABXoHE7s_1.avi,violent,violent,TP,0.623,150,114,0.76,4,True,True
Weaponized-Test098.avi,violent,violent,TP,0.6,30,11,0.367,0,True,True
no423_xvid.avi,normal,normal,TN,0.0,41,0,0.0,0,False,False
etyiEs3j8x8_0.avi,violent,violent,TP,0.65,150,149,0.993,13,True,True
v014_converted.avi,violent,violent,TP,0.728,239,238,0.996,16,True,False
Violence453.avi,violent,violent,TP,0.72,30,29,0.967,0,True,True
Weaponized118.avi,violent,normal,FN,0.285,30,12,0.4,0,True,True
Violence753.avi,violent,violent,TP,0.509,30,29,0.967,0,True,True
Weaponized-Test117.avi,violent,normal,FN,0.0,30,0,0.0,0,False,False
NV_512.avi,normal,normal,TN,0.284,145,144,0.993,7,True,False
Violence358.avi,violent,violent,TP,0.728,30,29,0.967,0,True,True
Normal613.avi,normal,violent,FP,0.597,30,30,1.0,0,True,True
0lHQ2f0d_1.avi,violent,violent,TP,0.718,150,92,0.613,1,True,True
Normal715.avi,normal,violent,FP,0.69,30,29,0.967,0,True,True
NV_737.avi,normal,normal,TN,0.27,147,146,0.993,7,True,True
Normal767.avi,normal,normal,TN,0.0,30,0,0.0,0,False,False
BOLcNZ5O_0.avi,normal,normal,TN,0.282,150,141,0.94,12,True,False
Weaponized-Test186.avi,violent,violent,TP,0.523,30,29,0.967,0,True,True
Violence366.avi,violent,normal,FN,0.0,30,0,0.0,0,False,False
n111_converted.avi,normal,violent,FP,0.726,119,116,0.975,16,True,True
kLHNW0uRutY_2.avi,violent,violent,TP,0.687,150,122,0.813,6,True,True
RQt37bnC_0.avi,normal,normal,TN,0.297,150,66,0.44,0,True,True
NV_588.avi,normal,violent,FP,0.419,115,114,0.991,9,True,True
NV_343.avi,normal,violent,FP,0.442,111,83,0.748,3,True,False
fvtpgsrF_0.avi,normal,violent,FP,0.545,150,149,0.993,6,True,True
V_527.avi,violent,violent,TP,0.643,185,79,0.427,0,True,True
Violence154.avi,violent,violent,TP,0.548,30,29,0.967,0,True,True
Weaponized013.avi,violent,violent,TP,0.589,30,29,0.967,0,True,True
n164_converted.avi,normal,violent,FP,0.449,103,103,1.0,20,True,True
no266_xvid.avi,normal,normal,TN,0.27,41,40,0.976,0,True,True
Weaponized323.avi,violent,violent,TP,0.726,30,29,0.967,0,True,True
Violence567.avi,violent,violent,TP,0.695,30,30,1.0,0,True,True
vQKHxtrdEHM_6.avi,violent,violent,TP,0.721,150,149,0.993,13,True,True
NPeKBgURcxI_1.avi,normal,violent,FP,0.727,150,150,1.0,24,True,True
Weaponized774.avi,violent,violent,TP,0.498,30,29,0.967,0,True,True
Violence343.avi,violent,violent,TP,0.704,30,29,0.967,0,True,True
Normal055.avi,normal,violent,FP,0.488,30,29,0.967,0,True,True
Violence526.avi,violent,violent,TP,0.514,30,8,0.267,0,True,True
IGCZWiP8_0.avi,normal,normal,TN,0.0,150,0,0.0,0,False,False
t_w006_converted.avi,violent,violent,TP,0.522,225,224,0.996,12,True,True
V_364.avi,violent,violent,TP,0.717,153,152,0.993,18,True,True
6Rl7q_kXYbg_4.avi,violent,normal,FN,0.0,150,0,0.0,0,False,False
Normal-Test137.avi,normal,normal,TN,0.0,30,0,0.0,0,False,False
F7W6PQ3V3y8_0.avi,violent,violent,TP,0.515,150,149,0.993,8,True,True
Violence938.avi,violent,violent,TP,0.698,30,17,0.567,0,True,True
VIPpAkyG_0.avi,normal,normal,TN,0.0,150,0,0.0,0,False,False
Normal265.avi,normal,normal,TN,0.0,30,0,0.0,0,False,False
NV_808.avi,normal,violent,FP,0.522,115,42,0.365,0,True,True
Weaponized-Test142.avi,violent,violent,TP,0.57,30,29,0.967,0,True,True
n028_converted.avi,normal,violent,FP,0.563,146,145,0.993,11,True,True
Normal417.avi,normal,normal,TN,0.0,30,0,0.0,0,False,False
no363_xvid.avi,normal,normal,TN,0.0,41,0,0.0,0,False,False
Weaponized804.avi,violent,violent,TP,0.731,30,29,0.967,0,True,True
Normal207.avi,normal,normal,TN,0.0,30,3,0.1,0,True,True
NV_519.avi,normal,violent,FP,0.445,115,51,0.443,0,True,True
_q5Nwh4Z6ao_5.avi,violent,violent,TP,0.566,150,102,0.68,2,True,True
Violence409.avi,violent,violent,TP,0.704,30,29,0.967,0,True,True
Weaponized620.avi,violent,violent,TP,0.685,30,29,0.967,0,True,True
V_382.avi,violent,violent,TP,0.724,125,118,0.944,2,True,True
Normal738.avi,normal,normal,TN,0.392,30,29,0.967,0,True,True
Weaponized672.avi,violent,normal,FN,0.325,30,9,0.3,0,True,True
Weaponized256.avi,violent,normal,FN,0.278,30,9,0.3,0,True,True
Normal029.avi,normal,violent,FP,0.425,30,12,0.4,0,True,True
N1Q9v-saJ_g_1.avi,violent,violent,TP,0.731,150,149,0.993,14,True,True
Normal221.avi,normal,normal,TN,0.269,30,27,0.9,0,True,True
Normal-Test098.avi,normal,normal,TN,0.0,30,0,0.0,0,False,False
Violence866.avi,violent,violent,TP,0.612,30,29,0.967,0,True,True
Normal657.avi,normal,normal,TN,0.305,30,30,1.0,0,True,True
Normal180.avi,normal,normal,TN,0.0,30,0,0.0,0,False,False
no361_xvid.avi,normal,normal,TN,0.0,41,2,0.049,0,True,True
n151_converted.avi,normal,normal,TN,0.281,25,9,0.36,0,True,True
rfthfd_536.avi,violent,violent,TP,0.609,150,149,0.993,9,True,True
n078_converted.avi,normal,violent,FP,0.707,138,137,0.993,21,True,True
Violence213.avi,violent,violent,TP,0.721,30,30,1.0,0,True,True
Weaponized-Test156.avi,violent,violent,TP,0.729,30,28,0.933,0,True,True
NV_344.avi,normal,normal,TN,0.306,141,36,0.255,0,True,True
v040_converted.avi,violent,violent,TP,0.724,150,149,0.993,22,True,True
Normal404.avi,normal,violent,FP,0.545,30,29,0.967,0,True,True
Normal056.avi,normal,violent,FP,0.726,30,30,1.0,0,True,True
Violence506.avi,violent,violent,TP,0.667,30,30,1.0,0,True,True
Normal616.avi,normal,violent,FP,0.425,30,30,1.0,0,True,True
I-QiUMPTWNE_2.avi,normal,violent,FP,0.706,150,149,0.993,51,True,True
Violence221.avi,violent,violent,TP,0.685,30,29,0.967,0,True,True
no357_xvid.avi,normal,violent,FP,0.564,41,41,1.0,0,True,True
NxtwlqSnLbY_3.avi,violent,violent,TP,0.73,150,150,1.0,11,True,True
Normal195.avi,normal,normal,TN,0.0,30,6,0.2,0,True,True
Violence826.avi,violent,violent,TP,0.703,30,29,0.967,0,True,True
w028_converted.avi,violent,violent,TP,0.591,223,205,0.919,13,True,True
Normal093.avi,normal,violent,FP,0.73,30,30,1.0,0,True,True
no260_xvid.avi,normal,normal,TN,0.271,41,31,0.756,0,True,True
Violence195.avi,violent,violent,TP,0.594,30,29,0.967,0,True,True
Normal053.avi,normal,violent,FP,0.642,30,29,0.967,0,True,True
no48_xvid.avi,normal,normal,TN,0.269,41,40,0.976,0,True,True
oByKgGBL_0.avi,normal,normal,TN,0.0,150,0,0.0,0,False,False
no350_xvid.avi,normal,normal,TN,0.271,41,5,0.122,0,True,True
Normal212.avi,normal,normal,TN,0.0,30,0,0.0,0,False,False
Violence969.avi,violent,normal,FN,0.328,30,9,0.3,0,True,True
a7gBQaAFEtw_1.avi,normal,normal,TN,0.352,150,149,0.993,8,True,True
no40_xvid.avi,normal,normal,TN,0.271,41,37,0.902,0,True,True
n063_converted.avi,normal,normal,TN,0.0,117,0,0.0,0,False,False
Violence721.avi,violent,violent,TP,0.731,30,29,0.967,0,True,True
Weaponized754.avi,violent,normal,FN,0.337,30,6,0.2,0,True,True
Normal111.avi,normal,violent,FP,0.42,30,29,0.967,0,True,True
n085_converted.avi,normal,violent,FP,0.473,113,112,0.991,30,True,True
Weaponized-Test154.avi,violent,violent,TP,0.647,30,29,0.967,0,True,True
Normal565.avi,normal,violent,FP,0.407,30,29,0.967,0,True,True
Violence823.avi,violent,violent,TP,0.64,30,29,0.967,0,True,True
Normal793.avi,normal,normal,TN,0.0,30,0,0.0,0,False,False
Normal112.avi,normal,normal,TN,0.394,30,29,0.967,0,True,True
Normal764.avi,normal,normal,TN,0.0,30,0,0.0,0,False,False
n089_converted.avi,normal,violent,FP,0.609,163,163,1.0,43,True,True
n074_converted.avi,normal,violent,FP,0.647,122,117,0.959,10,True,True
Weaponized489.avi,violent,violent,TP,0.685,30,29,0.967,0,True,True
DRlOjUNi_0.avi,normal,normal,TN,0.285,150,149,0.993,14,True,False
88ndrvAZpE8_0.avi,normal,normal,TN,0.273,150,104,0.693,0,True,True
w065_converted.avi,violent,violent,TP,0.625,240,239,0.996,29,True,True
Normal601.avi,normal,violent,FP,0.453,30,30,1.0,0,True,True
no62_xvid.avi,normal,normal,TN,0.269,41,39,0.951,0,True,True
Normal021.avi,normal,normal,TN,0.338,30,29,0.967,0,True,True
n020_converted.avi,normal,normal,TN,0.326,130,129,0.992,39,True,True
3kpviz7lAMY_4.avi,violent,violent,TP,0.685,150,29,0.193,0,True,True
Violence242.avi,violent,violent,TP,0.532,30,17,0.567,0,True,True
Cce4ogHp_0.avi,violent,violent,TP,0.73,150,109,0.727,1,True,True
Weaponized821.avi,violent,normal,FN,0.395,30,29,0.967,0,True,True
Violence331.avi,violent,violent,TP,0.709,30,29,0.967,0,True,True
n107_converted.avi,normal,violent,FP,0.578,128,128,1.0,24,True,False
Weaponized356.avi,violent,violent,TP,0.662,30,29,0.967,0,True,True
nNUeqFgG_0.avi,violent,violent,TP,0.485,150,139,0.927,6,True,True
2bBn7MLg_0.avi,normal,violent,FP,0.731,150,150,1.0,11,True,True
JJG0bHPur50_1.avi,violent,violent,TP,0.439,150,109,0.727,2,True,True
Violence718.avi,violent,violent,TP,0.731,30,30,1.0,0,True,True
V_384.avi,violent,violent,TP,0.624,150,149,0.993,34,True,True
Weaponized703.avi,violent,violent,TP,0.459,30,29,0.967,0,True,True
Weaponized719.avi,violent,normal,FN,0.0,30,0,0.0,0,False,False
n128_converted.avi,normal,normal,TN,0.394,124,123,0.992,20,True,False
Normal348.avi,normal,violent,FP,0.578,30,30,1.0,0,True,True
Normal280.avi,normal,violent,FP,0.708,30,29,0.967,0,True,True
Violence250.avi,violent,normal,FN,0.357,30,29,0.967,0,True,True
Normal420.avi,normal,normal,TN,0.0,30,0,0.0,0,False,False
Normal718.avi,normal,violent,FP,0.62,30,29,0.967,0,True,True
t_n010_converted.avi,normal,violent,FP,0.634,138,137,0.993,14,True,True
Weaponized280.avi,violent,violent,TP,0.73,30,29,0.967,0,True,True
Normal303.avi,normal,normal,TN,0.34,30,30,1.0,0,True,True
Violence607.avi,violent,normal,FN,0.334,30,29,0.967,0,True,True
no80_xvid.avi,normal,normal,TN,0.304,41,26,0.634,0,True,True
w091_converted.avi,violent,violent,TP,0.711,256,63,0.246,0,True,True
NV_733.avi,normal,normal,TN,0.306,180,179,0.994,9,True,True
Weaponized576.avi,violent,violent,TP,0.666,30,25,0.833,0,True,True
Violence252.avi,violent,violent,TP,0.672,30,29,0.967,0,True,True
t_n036_converted.avi,normal,normal,TN,0.0,113,0,0.0,0,False,False
Violence520.avi,violent,normal,FN,0.0,30,4,0.133,0,True,True
Weaponized718.avi,violent,normal,FN,0.0,30,0,0.0,0,False,False
Violence965.avi,violent,violent,TP,0.726,30,29,0.967,0,True,True
Violence926.avi,violent,violent,TP,0.729,30,29,0.967,0,True,True
V_608.avi,violent,violent,TP,0.708,185,144,0.778,14,True,True
erwyrhd_337.avi,violent,violent,TP,0.705,150,86,0.573,1,True,True
Violence722.avi,violent,violent,TP,0.731,30,29,0.967,0,True,True
aKgSasWRJ2s_0.avi,violent,violent,TP,0.611,150,150,1.0,51,True,True
jj9SJGft_0.avi,normal,violent,FP,0.469,150,149,0.993,26,True,True
Weaponized625.avi,violent,violent,TP,0.73,30,29,0.967,0,True,True
n094_converted.avi,normal,violent,FP,0.472,118,118,1.0,10,True,True
Normal-Test108.avi,normal,normal,TN,0.0,30,0,0.0,0,False,False
oG3Qxvq0_0.avi,normal,normal,TN,0.271,150,149,0.993,14,True,False
Xmmy8LvV_0.avi,normal,normal,TN,0.275,150,25,0.167,0,True,True
w095_converted.avi,violent,violent,TP,0.583,308,85,0.276,1,True,True
gHcG_c1i4uE_1.avi,normal,violent,FP,0.698,150,149,0.993,4,True,True
Weaponized520.avi,violent,violent,TP,0.608,30,18,0.6,0,True,True
Violence571.avi,violent,violent,TP,0.604,30,29,0.967,0,True,True
Normal575.avi,normal,violent,FP,0.499,30,30,1.0,0,True,True
Normal545.avi,normal,violent,FP,0.642,30,28,0.933,0,True,True
t_v010_converted.avi,violent,violent,TP,0.726,306,269,0.879,15,True,True
KQTiHlA11fM_1.avi,normal,normal,TN,0.271,150,149,0.993,7,True,False
Weaponized-Test053.avi,violent,normal,FN,0.0,30,0,0.0,0,False,False
no30_xvid.avi,normal,normal,TN,0.0,41,5,0.122,0,True,True
zuCTuKvj_2.avi,violent,violent,TP,0.595,150,138,0.92,6,True,True
